model,temperature,seed,bleu_representativeness,folder
mistral-7b,0.8,123,0.0,termination-nla
mistral-7b,0.8,123,0.0,loops-crafted-1
mistral-7b,0.8,42,0.2486,recursive-simple
mistral-7b,0.8,999,0.0,termination-nla
mistral-7b,0.8,42,0.1871,termination-numeric
mistral-7b,0.8,123,0.4863,recursive-simple
mistral-7b,0.8,42,0.0046,termination-nla
mistral-7b,0.8,999,0.4212,recursive-simple
mistral-7b,0.8,123,0.0517,recursive-simple
mistral-7b,0.8,999,0.3903,loop-acceleration
mistral-7b,0.8,999,0.3317,recursive-simple
mistral-7b,0.8,42,0.1365,recursive-simple
mistral-7b,0.8,999,0.0031,loops
mistral-7b,0.8,999,0.0778,termination-crafted
mistral-7b,0.8,42,0.0,termination-crafted-lit
mistral-7b,0.8,42,0.2655,loop-acceleration
mistral-7b,0.8,42,0.2781,recursive-simple
mistral-7b,0.8,999,0.1171,termination-numeric
mistral-7b,0.8,123,0.1665,termination-crafted-lit
mistral-7b,0.8,999,0.1383,termination-crafted-lit
mistral-7b,0.8,123,0.0599,termination-crafted-lit
mistral-7b,0.8,42,0.0543,loops-crafted-1
mistral-7b,0.8,42,0.0778,termination-crafted
mistral-7b,0.8,42,0.044,termination-crafted
mistral-7b,0.8,999,0.2459,recursive
mistral-7b,0.8,999,0.0569,loops-crafted-1
mistral-7b,0.8,42,0.1583,termination-crafted-lit
mistral-7b,0.8,123,0.1759,termination-crafted
mistral-7b,0.8,123,0.3608,recursive
mistral-7b,0.8,123,0.3209,loops
mistral-7b,0.8,123,0.1688,loop-acceleration
mistral-7b,0.8,123,0.0235,loops-crafted-1
mistral-7b,0.8,123,0.0877,termination-numeric
mistral-7b,0.8,999,0.0948,loops-crafted-1
mistral-7b,0.8,999,0.176,termination-crafted-lit
mistral-7b,0.8,42,0.2395,loops
mistral-7b,0.8,999,0.5711,termination-restricted-15
mistral-7b,0.8,42,0.6124,termination-restricted-15
mistral-7b,0.8,999,0.208,termination-crafted
mistral-7b,0.8,123,0.0398,termination-crafted
mistral-7b,0.8,42,0.1371,recursive-simple
mistral-7b,0.8,42,0.3362,recursive
mistral-7b,0.8,123,0.2435,recursive-simple
mistral-7b,0.8,123,0.3344,termination-crafted
mistral-7b,0.8,999,0.1227,recursive-simple
mistral-7b,0.8,42,0.0273,termination-crafted
mistral-7b,0.8,999,0.2332,recursive-simple
mistral-7b,0.8,123,0.0615,loops
mistral-7b,0.8,42,0.5764,termination-restricted-15
mistral-7b,0.8,123,0.1211,termination-restricted-15
mistral-7b,0.8,42,0.0981,loops-crafted-1
mistral-7b,0.8,123,0.2276,termination-numeric
mistral-7b,0.8,999,0.5372,termination-restricted-15
mistral-7b,0.8,123,0.2417,termination-crafted-lit
mistral-7b,0.8,999,0.3469,termination-crafted
mistral-7b,0.8,42,0.3928,termination-numeric
mistral-7b,0.8,123,0.4397,termination-restricted-15
mistral-7b,0.8,999,0.1222,termination-crafted
mistral-7b,0.8,123,0.3669,recursive-simple
mistral-7b,0.8,123,0.1438,recursive
mistral-7b,0.8,42,0.1416,loops
mistral-7b,0.8,42,0.1589,array-fpi
mistral-7b,0.8,999,0.1571,loops
mistral-7b,0.8,123,0.0395,termination-crafted
mistral-7b,0.8,999,0.3217,termination-crafted
mistral-7b,0.8,999,0.3613,termination-numeric
mistral-7b,0.8,999,0.1271,termination-crafted-lit
mistral-7b,0.8,999,0.1122,termination-bwb
mistral-7b,0.8,123,0.083,termination-crafted
mistral-7b,0.8,123,0.1391,termination-bwb
mistral-7b,0.8,123,0.0136,array-fpi
mistral-7b,0.8,123,0.1559,loop-acceleration
mistral-7b,0.8,42,0.3657,loop-acceleration
mistral-7b,0.8,42,0.2022,recursive
mistral-7b,0.8,999,0.0224,array-fpi
mistral-7b,0.8,123,0.0,loop-invgen
mistral-7b,0.8,999,0.1608,loops
mistral-7b,0.8,123,0.1679,termination-crafted
mistral-7b,0.8,42,0.4451,termination-bwb
mistral-7b,0.8,42,0.1677,termination-crafted
mistral-7b,0.8,999,0.0004,bitvector
mistral-7b,0.8,123,0.2454,termination-crafted
mistral-7b,0.8,42,0.0,loop-invgen
mistral-7b,0.8,42,0.0,bitvector
mistral-7b,0.8,42,0.0979,array-fpi
mistral-7b,0.8,42,0.3449,termination-crafted
mistral-7b,0.8,42,0.2045,termination-crafted
mistral-7b,0.8,999,0.4018,termination-crafted
mistral-7b,0.8,42,0.1347,termination-crafted-lit
mistral-7b,0.8,999,0.247,array-fpi
mistral-7b,0.8,42,0.3315,termination-crafted-lit
mistral-7b,0.8,123,0.3634,loops
mistral-7b,0.8,123,0.0689,termination-crafted
mistral-7b,0.8,999,0.2388,termination-crafted
mistral-7b,0.8,999,0.244,loop-acceleration
mistral-7b,0.8,999,0.422,array-memsafety
mistral-7b,0.8,999,0.253,recursive
mistral-7b,0.8,999,0.2951,termination-crafted
mistral-7b,0.8,42,0.2382,array-memsafety
mistral-7b,0.8,42,0.0752,termination-crafted
mistral-7b,0.8,999,0.0,loop-invgen
mistral-7b,0.8,123,0.0,loop-industry-pattern
mistral-7b,0.8,999,0.1724,termination-crafted
mistral-7b,0.8,42,0.0942,termination-crafted
mistral-7b,0.8,123,0.2254,termination-crafted-lit
mistral-7b,0.8,42,0.0001,loop-industry-pattern
mistral-7b,0.8,999,0.0669,bitvector
mistral-7b,0.8,123,0.0853,bitvector
mistral-7b,0.8,123,0.2406,array-memsafety
mistral-7b,0.8,42,0.0,termination-nla
mistral-7b,0.8,999,0.001,loop-industry-pattern
mistral-7b,0.8,123,0.0008,bitvector
mistral-7b,0.8,123,0.3014,array-fpi
mistral-7b,0.8,42,0.1199,termination-nla
mistral-7b,0.8,999,0.2062,recursive-simple
mistral-7b,0.8,123,0.2567,recursive-simple
mistral-7b,0.8,999,0.5951,termination-restricted-15
mistral-7b,0.8,42,0.2396,recursive-simple
mistral-7b,0.8,123,0.4706,termination-restricted-15
mistral-7b,0.8,42,0.164,termination-crafted
mistral-7b,0.8,42,0.2722,termination-restricted-15
mistral-7b,0.8,123,0.3044,termination-crafted
mistral-7b,0.8,123,0.1364,termination-nla
mistral-7b,0.8,42,0.537,termination-restricted-15
mistral-7b,0.8,123,0.0,termination-bwb
mistral-7b,0.8,123,0.0051,array-fpi
mistral-7b,0.8,42,0.2395,loops
mistral-7b,0.8,999,0.0035,termination-nla
mistral-7b,0.8,123,0.6764,termination-restricted-15
mistral-7b,0.8,123,0.0154,termination-nla
mistral-7b,0.8,999,0.096,loops
mistral-7b,0.8,999,0.0167,loops-crafted-1
mistral-7b,0.8,42,0.3215,array-fpi
mistral-7b,0.8,42,0.1329,bitvector
mistral-7b,0.8,999,0.2414,array-fpi
mistral-7b,0.8,999,0.302,termination-bwb
mistral-7b,0.8,999,0.1453,loop-acceleration
mistral-7b,0.8,999,0.1195,termination-nla
mistral-7b,0.8,999,0.079,termination-restricted-15
mistral-7b,0.8,123,0.0394,termination-restricted-15
mistral-7b,0.8,42,0.2165,termination-bwb
mistral-7b,0.8,123,0.3722,loops-crafted-1
mistral-7b,0.8,999,0.1866,termination-restricted-15
mistral-7b,0.8,42,0.4216,termination-restricted-15
mistral-7b,0.8,42,0.4965,loops-crafted-1
mistral-7b,0.8,42,0.3427,loop-acceleration
mistral-7b,0.8,42,0.2283,loops
mistral-7b,0.8,999,0.101,termination-crafted-lit
mistral-7b,0.8,123,0.4298,loops
mistral-7b,0.8,123,0.2006,loop-acceleration
