model,temperature,seed,bleu_representativeness,folder
deepseek-r1-14b,0.8,123,0.0857,recursive-simple
deepseek-r1-14b,0.8,999,0.0,termination-crafted
deepseek-r1-14b,0.8,999,0.1543,recursive-simple
deepseek-r1-14b,0.8,42,0.0,termination-crafted
deepseek-r1-14b,0.8,42,0.0698,loop-acceleration
deepseek-r1-14b,0.8,123,0.1214,termination-numeric
deepseek-r1-14b,0.8,123,0.0,termination-crafted
deepseek-r1-14b,0.8,42,0.0,termination-numeric
deepseek-r1-14b,0.8,42,0.0999,recursive-simple
deepseek-r1-14b,0.8,123,0.106,loop-acceleration
deepseek-r1-14b,0.8,123,0.0102,loops-crafted-1
deepseek-r1-14b,0.8,999,0.0153,loops-crafted-1
deepseek-r1-14b,0.8,999,0.0905,loop-acceleration
deepseek-r1-14b,0.8,999,0.0063,recursive-simple
deepseek-r1-14b,0.8,123,0.1026,loops
deepseek-r1-14b,0.8,123,0.0518,termination-crafted-lit
deepseek-r1-14b,0.8,42,0.0645,recursive-simple
deepseek-r1-14b,0.8,42,0.0006,loops
deepseek-r1-14b,0.8,42,0.0063,recursive-simple
deepseek-r1-14b,0.8,999,0.0,termination-crafted-lit
deepseek-r1-14b,0.8,42,0.0776,termination-crafted
deepseek-r1-14b,0.8,42,0.0402,termination-crafted-lit
deepseek-r1-14b,0.8,999,0.0086,termination-crafted-lit
deepseek-r1-14b,0.8,999,0.002,termination-crafted
deepseek-r1-14b,0.8,42,0.0034,loops
deepseek-r1-14b,0.8,123,0.0589,termination-crafted
deepseek-r1-14b,0.8,42,0.0002,termination-nla
deepseek-r1-14b,0.8,999,0.4064,loops
deepseek-r1-14b,0.8,42,0.0,termination-crafted
deepseek-r1-14b,0.8,123,0.0303,recursive-simple
deepseek-r1-14b,0.8,123,0.2349,loops
deepseek-r1-14b,0.8,123,0.1105,termination-crafted-lit
deepseek-r1-14b,0.8,42,0.1862,recursive
deepseek-r1-14b,0.8,42,0.0695,termination-crafted
deepseek-r1-14b,0.8,123,0.2531,recursive
deepseek-r1-14b,0.8,123,0.0472,loops-crafted-1
deepseek-r1-14b,0.8,999,0.0533,termination-nla
deepseek-r1-14b,0.8,123,0.0001,termination-crafted
deepseek-r1-14b,0.8,999,0.0667,loops
deepseek-r1-14b,0.8,999,0.1419,termination-restricted-15
deepseek-r1-14b,0.8,123,0.0895,termination-crafted
deepseek-r1-14b,0.8,123,0.1549,recursive-simple
deepseek-r1-14b,0.8,123,0.0024,termination-nla
deepseek-r1-14b,0.8,999,0.1003,recursive-simple
deepseek-r1-14b,0.8,999,0.0,termination-crafted
deepseek-r1-14b,0.8,42,0.2892,termination-restricted-15
deepseek-r1-14b,0.8,999,0.4802,termination-crafted
deepseek-r1-14b,0.8,42,0.1186,recursive-simple
deepseek-r1-14b,0.8,999,0.0709,termination-numeric
deepseek-r1-14b,0.8,999,0.1667,recursive
deepseek-r1-14b,0.8,123,0.473,termination-restricted-15
deepseek-r1-14b,0.8,42,0.1219,termination-crafted-lit
deepseek-r1-14b,0.8,42,0.2605,termination-bwb
deepseek-r1-14b,0.8,42,0.0,termination-restricted-15
deepseek-r1-14b,0.8,999,0.1186,termination-numeric
deepseek-r1-14b,0.8,42,0.1029,termination-numeric
deepseek-r1-14b,0.8,123,0.1703,termination-crafted-lit
deepseek-r1-14b,0.8,123,0.0274,termination-bwb
deepseek-r1-14b,0.8,42,0.1863,recursive
deepseek-r1-14b,0.8,123,0.4182,recursive
deepseek-r1-14b,0.8,42,0.0069,termination-crafted-lit
deepseek-r1-14b,0.8,42,0.0795,array-fpi
