model,temperature,seed,bleu_representativeness,folder
qwen2.5-32b,0.8,999,0.1867,recursive-simple
qwen2.5-32b,0.8,123,0.2293,recursive-simple
qwen2.5-32b,0.8,42,0.1604,recursive-simple
qwen2.5-32b,0.8,123,0.4762,loop-acceleration
qwen2.5-32b,0.8,123,0.1018,loops-crafted-1
qwen2.5-32b,0.8,999,0.2186,recursive-simple
qwen2.5-32b,0.8,999,0.3627,loop-acceleration
qwen2.5-32b,0.8,42,0.2008,recursive-simple
qwen2.5-32b,0.8,42,0.1914,loop-acceleration
qwen2.5-32b,0.8,123,0.0183,termination-crafted
qwen2.5-32b,0.8,999,0.2527,termination-numeric
qwen2.5-32b,0.8,999,0.0885,termination-nla
qwen2.5-32b,0.8,123,0.2008,recursive-simple
qwen2.5-32b,0.8,42,0.2719,recursive-simple
qwen2.5-32b,0.8,999,0.2025,recursive-simple
qwen2.5-32b,0.8,999,0.0943,loops-crafted-1
qwen2.5-32b,0.8,999,0.0,loops
qwen2.5-32b,0.8,42,0.1106,loops
qwen2.5-32b,0.8,123,0.2207,termination-numeric
qwen2.5-32b,0.8,42,0.2673,termination-numeric
qwen2.5-32b,0.8,42,0.3002,termination-crafted-lit
qwen2.5-32b,0.8,123,0.2095,termination-crafted-lit
qwen2.5-32b,0.8,123,0.2804,termination-crafted-lit
qwen2.5-32b,0.8,123,0.2949,loops
qwen2.5-32b,0.8,42,0.2442,termination-crafted
qwen2.5-32b,0.8,123,0.2027,recursive
qwen2.5-32b,0.8,42,0.2903,loops
qwen2.5-32b,0.8,999,0.0947,recursive
qwen2.5-32b,0.8,123,0.0366,loops
qwen2.5-32b,0.8,123,0.055,loops-crafted-1
qwen2.5-32b,0.8,999,0.1124,termination-crafted-lit
qwen2.5-32b,0.8,123,0.1376,termination-crafted
qwen2.5-32b,0.8,999,0.2259,termination-crafted
qwen2.5-32b,0.8,999,0.1708,loops-crafted-1
qwen2.5-32b,0.8,123,0.2228,recursive-simple
qwen2.5-32b,0.8,999,0.25,loops
qwen2.5-32b,0.8,123,0.5334,termination-crafted
qwen2.5-32b,0.8,42,0.2611,recursive
qwen2.5-32b,0.8,42,0.0991,loops-crafted-1
qwen2.5-32b,0.8,42,0.099,recursive-simple
qwen2.5-32b,0.8,123,0.146,recursive-simple
qwen2.5-32b,0.8,42,0.0309,termination-nla
qwen2.5-32b,0.8,999,0.053,recursive-simple
qwen2.5-32b,0.8,123,0.0145,termination-nla
qwen2.5-32b,0.8,999,0.1218,termination-crafted
qwen2.5-32b,0.8,123,0.5719,termination-numeric
qwen2.5-32b,0.8,42,0.4016,termination-numeric
qwen2.5-32b,0.8,999,0.4097,termination-numeric
qwen2.5-32b,0.8,123,0.5397,termination-restricted-15
qwen2.5-32b,0.8,42,0.0768,termination-crafted
qwen2.5-32b,0.8,999,0.5925,termination-restricted-15
qwen2.5-32b,0.8,123,0.7106,termination-restricted-15
qwen2.5-32b,0.8,42,0.1924,termination-restricted-15
qwen2.5-32b,0.8,123,0.338,recursive
qwen2.5-32b,0.8,42,0.1345,termination-crafted
qwen2.5-32b,0.8,123,0.1447,termination-crafted
qwen2.5-32b,0.8,123,0.2364,termination-bwb
qwen2.5-32b,0.8,999,0.0171,termination-crafted-lit
qwen2.5-32b,0.8,999,0.0694,termination-crafted
qwen2.5-32b,0.8,42,0.2963,loops-crafted-1
qwen2.5-32b,0.8,42,0.1065,termination-crafted-lit
qwen2.5-32b,0.8,999,0.1965,recursive
qwen2.5-32b,0.8,42,0.1565,termination-crafted-lit
qwen2.5-32b,0.8,42,0.2893,recursive
qwen2.5-32b,0.8,42,0.5899,termination-restricted-15
qwen2.5-32b,0.8,42,0.0959,termination-bwb
qwen2.5-32b,0.8,123,0.313,termination-crafted
qwen2.5-32b,0.8,999,0.372,termination-bwb
qwen2.5-32b,0.8,42,0.0,bitvector
qwen2.5-32b,0.8,999,0.3803,loop-acceleration
qwen2.5-32b,0.8,123,0.0004,array-fpi
qwen2.5-32b,0.8,42,0.1226,array-fpi
qwen2.5-32b,0.8,123,0.3038,loop-acceleration
qwen2.5-32b,0.8,999,0.0718,termination-restricted-15
qwen2.5-32b,0.8,999,0.2089,loops
qwen2.5-32b,0.8,999,0.2844,array-fpi
qwen2.5-32b,0.8,123,0.0,loop-invgen
qwen2.5-32b,0.8,123,0.0,termination-crafted
qwen2.5-32b,0.8,42,0.1193,loop-acceleration
qwen2.5-32b,0.8,999,0.0,loop-invgen
qwen2.5-32b,0.8,42,0.0723,array-fpi
qwen2.5-32b,0.8,123,0.4331,termination-crafted
qwen2.5-32b,0.8,123,0.3386,termination-crafted
qwen2.5-32b,0.8,123,0.3009,loops
